#      O         NLL         <E>      <|M|>
17.011897   17.932232   -1.973941   0.992698   
16.816230   17.802471   -1.967663   0.991128   
16.726662   17.754776   -1.965693   0.990444   
17.053461   17.951923   -1.966120   0.990512   
16.998600   17.936459   -1.978689   0.993885   
17.157351   18.217932   -1.971437   0.992072   
17.196231   18.223934   -1.972510   0.992226   
17.082852   18.078642   -1.971319   0.992043   
17.066647   17.955095   -1.976792   0.993361   
17.259244   18.293097   -1.970549   0.991850   
17.248539   18.292068   -1.958057   0.988667   
17.155189   18.217672   -1.964143   0.990248   
17.275772   18.301563   -1.982622   0.994868   
17.382026   18.352108   -1.977380   0.993558   
17.337620   18.338814   -1.981543   0.994598   
17.320506   18.308060   -1.955606   0.988111   
17.408865   18.362331   -1.970095   0.991736   
17.347955   18.340113   -1.976310   0.993290   
17.192888   18.229168   -1.975421   0.993068   
17.435309   18.372543   -1.973487   0.992218   
17.286301   18.306738   -1.975819   0.993168   
17.341467   18.337696   -1.961999   0.989686   
17.352059   18.340212   -1.980189   0.994260   
17.358389   18.342424   -1.984050   0.995225   
17.397215   18.360601   -1.966132   0.990745   
17.456710   18.404398   -1.979529   0.994095   
17.455411   18.404413   -1.976029   0.993220   
17.415519   18.361904   -1.979505   0.994089   
17.597235   18.655508   -1.976998   0.993462   
17.435945   18.366531   -1.976516   0.993342   
17.535923   18.421041   -1.978147   0.993747   
17.413658   18.361765   -1.987800   0.996163   
17.490557   18.408667   -1.975212   0.993016   
17.616393   18.665133   -1.968570   0.991355   
17.560362   18.425734   -1.973916   0.992692   
17.474590   18.398016   -1.980893   0.994433   
17.483125   18.400627   -1.977699   0.993604   
17.623141   18.554703   -1.981609   0.994615   
17.597432   18.551125   -1.977154   0.993501   
17.532273   18.412918   -1.957493   0.988586   
17.691559   18.707632   -1.974276   0.992782   
17.642878   18.563910   -1.977241   0.993523   
17.725677   18.739712   -1.977845   0.993674   
17.667250   18.593180   -1.956331   0.988295   
17.796136   18.760551   -1.976034   0.993221   
